date,BTC Market Cap,ETH Market Cap,Top 10 (Without BTC & ETH),Others,All
2018-11-01,110487418903.24472,20443374890.788353,44207709260.82469,23581856714.14024,198720359768.99802
2018-11-02,110896563654.92197,20504797883.626476,44417980648.3036,23672093468.56395,199491435655.41602
2018-11-03,111528929052.5205,20827898393.480133,45806674330.59919,24337797991.08118,202501299767.681
2018-11-04,110888814023.684,20607885132.10309,45726750646.04031,23777043982.6826,201000493784.50998
2018-11-05,110241536216.1873,21305283379.90364,47633285204.83243,24644316114.25563,203824420915.17902
2018-11-06,111383003826.06792,21542826214.062332,49334297681.76153,24246321788.49122,206506449510.383
2018-11-07,112347500910.42685,22564364808.51298,53617383715.36837,25071076108.6678,213600325542.976
2018-11-08,113943582818.14384,22526589761.074043,52687569557.78914,25462455285.38598,214620197422.393
2018-11-09,112723294658.02623,22014228200.633472,50047629695.1441,24477201853.5162,209262354407.32
2018-11-10,111440702127.79549,21743426340.7329,49357471879.84508,23596138522.44153,206137738870.815
2018-11-11,111308110603.00995,21899054776.88674,49752651867.51124,23844027471.11007,206803844718.518
2018-11-12,111773252086.90735,21915333222.812687,49817353188.349686,23379849816.27427,206885788314.34396
2018-11-13,111385885801.71518,21835416808.274967,49854297460.11373,24089440292.06812,207165040362.172
2018-11-14,111126759494.65367,21526572966.38387,48987907171.8179,23101992145.86156,204743231778.717
2018-11-15,100585460320.22012,18991988237.013927,44433785798.01299,21387309887.04596,185398544242.293
2018-11-16,98829079080.72421,18833157524.209366,44501731635.14352,20817373048.7949,182981341288.87198
2018-11-17,97344067023.98213,18173414086.234,43208719479.82434,18910954347.14253,177637154937.18298
2018-11-18,97299989131.4034,18140877471.665012,44174968895.19404,18388978234.89155,178004813733.154
2018-11-19,98118875508.37688,18355720231.296604,43675663365.96129,18641868631.51423,178792127737.149
2018-11-20,85228342224.35999,15568477359.93989,39239509926.68007,16523015881.34705,156559345392.327
2018-11-21,76601948314.49545,13480873430.564436,35322536570.87077,14991955551.33834,140397313867.269
2018-11-22,80360705527.42929,14199281074.8261,36934103318.34355,15358833911.81506,146852923832.414
2018-11-23,75518575145.29533,13145643371.545767,34723881899.53868,13689379851.03022,137077480267.41
2018-11-24,76120308175.56718,12835445196.81356,33973071149.31535,13675715705.13191,136604540226.828
2018-11-25,67756132282.086784,11817983686.122585,30676390780.59268,12224233982.43295,122474740731.235
2018-11-26,70327984591.03267,12164898237.895905,31108638413.432438,12480402826.52699,126081924068.888
2018-11-27,66796155268.6834,11351812370.701126,30807493771.542583,12819176297.14289,121774637708.07
2018-11-28,66811830848.48212,11441393467.752829,30370262301.74598,13026244053.02207,121649730671.00299
