time,inflow,outflow,netflow
2022-03-01,2384767210.8071136,2618360204.2703967,-233592993.46328306
2022-03-02,2452776239.8359175,2827982608.0280876,-375206368.19217014
2022-03-03,2994153107.0226254,3302640983.9443064,-308487876.9216809
2022-03-04,903731302.7860266,1023900430.2610775,-120169127.47505093
2022-03-05,1279087302.3597934,1306451145.4511626,-27363843.091369152
2022-03-06,2980133239.713519,3259034414.867625,-278901175.15410614
2022-03-07,2936536852.349376,2726860529.1544437,209676323.19493246
2022-03-08,1893869968.3879154,2200550556.628064,-306680588.2401488
2022-03-09,2652307916.7440124,2233840222.23528,418467694.5087323
2022-03-10,2173850710.088449,2432792172.890686,-258941462.80223703
2022-03-11,879972802.0950179,909540864.3690246,-29568062.274006724
2022-03-12,985048736.623375,782764205.9839886,202284530.63938642
2022-03-13,2680437619.3503327,2649520302.1583037,30917317.192029
2022-03-14,1728801500.6403544,1984733193.5079281,-255931692.86757374
2022-03-15,2385114503.730958,2206185865.172299,178928638.55865908
2022-03-16,2361820695.5132766,2599493867.667744,-237673172.15446758
2022-03-17,2326644101.8464775,2235573216.9069242,91070884.93955326
2022-03-18,1026090148.3433846,949153474.577378,76936673.76600659
2022-03-19,883416212.9707363,1144355389.2180226,-260939176.24728632
2022-03-20,1933863444.6166115,1849162619.4007444,84700825.21586704
2022-03-21,2880770013.4360585,2864052337.368142,16717676.067916393
2022-03-22,2799578656.9569106,2832783973.395425,-33205316.438514233
2022-03-23,3085746023.052451,2826275831.208052,259470191.84439898
2022-03-24,5975234165.036294,6130012129.559628,-154777964.52333355
2022-03-25,1062846859.1181436,1007369140.6442186,55477718.473924994
2022-03-26,832142352.1343282,922436358.9294438,-90294006.79511559
2022-03-27,2794304654.057232,2811468171.475938,-17163517.41870594
2022-03-28,3442267328.3421082,3588296437.518749,-146029109.176641
2022-03-29,2935576414.323203,2979782627.795288,-44206213.472085
2022-03-30,3097276495.575559,3079967662.1447,17308833.43085909
2022-03-31,3078321795.6005344,2396347555.270171,681974240.3303633
2022-04-01,1338375260.7012103,1153764895.0365934,184610365.66461682
2022-04-02,1309363677.9620702,1402304321.2180119,-92940643.25594163
2022-04-03,2922611188.080881,3039126333.405451,-116515145.3245697
2022-04-04,2299538044.99499,2324749996.420086,-25211951.425096035
2022-04-05,3244667773.8918204,3270147101.9061003,-25479328.014279842
2022-04-06,2260690645.6216917,2452869631.776735,-192178986.15504313
2022-04-07,2353719723.183964,2543833032.1886435,-190113309.00467968
2022-04-08,964756752.8245355,743640301.9912091,221116450.83332634
2022-04-09,905226183.5477659,757092091.9248598,148134091.6229061
2022-04-10,3727170915.4439583,3599606664.122472,127564251.32148647
2022-04-11,2672579147.4202824,2659170304.1650834,13408843.255198956
2022-04-12,2525728615.1906505,2935953114.2034955,-410224499.01284504
2022-04-13,2347977476.907375,2297705676.121493,50271800.785881996
2022-04-14,1455249328.3187041,1504608656.3363338,-49359328.01762962
2022-04-15,582842018.6692079,533440362.6507478,49401656.018460155
2022-04-16,870858791.0768307,823065539.0187769,47793252.05805385
2022-04-17,2612250976.6387577,2403718950.080854,208532026.55790377
2022-04-18,2848133852.1139717,2894908120.446295,-46774268.332323074
2022-04-19,2363398968.867137,2680460835.493829,-317061866.6266918
2022-04-20,2432304715.8277817,2460827663.3134246,-28522947.48564291
2022-04-21,2602443926.238566,2340721103.639539,261722822.59902716
2022-04-22,752084946.9659573,749734326.7610284,2350620.204928875
2022-04-23,777411471.2507551,1138512292.574111,-361100821.3233559
2022-04-24,3483898905.9992657,3277924563.0462885,205974342.95297718
2022-04-25,2185978739.1273756,2667052437.689701,-481073698.5623255
2022-04-26,1579923152.4241154,1756315896.3639066,-176392743.9397912
2022-04-27,2747656576.547974,2340664142.494427,406992434.0535469
2022-04-28,2715684028.381771,2443005278.262344,272678750.1194272
2022-04-29,1064080651.673327,936994196.8067981,127086454.86652887
2022-04-30,962648063.9599627,1030852464.9866781,-68204401.0267154
2022-05-01,3749223866.5962486,3401670860.194113,347553006.40213585
2022-05-02,2280688223.6678286,2584535262.2964735,-303847038.62864494
2022-05-03,2865178858.263915,2848243995.543393,16934862.720521927
2022-05-04,2956896914.636897,2574610288.203137,382286626.43376017
2022-05-05,3029256256.403095,3450522625.4234853,-421266369.0203905
2022-05-06,1573498078.2875729,1239253297.463474,334244780.8240988
2022-05-07,3120273929.3620434,2673479566.3108077,446794363.0512357
2022-05-08,6682699744.051463,6921082101.7587185,-238382357.70725536
2022-05-09,6641377996.1220875,6600952543.512179,40425452.609908104
2022-05-10,11898889384.020594,11299609261.167044,599280122.85355
2022-05-11,17483287971.584114,14973527070.45198,2509760901.1321335
2022-05-12,8768530390.757486,9491032852.00647,-722502461.2489834
2022-05-13,6913383233.504695,3795211185.426204,3118172048.0784907
2022-05-14,1376667532.452591,1293442676.3187122,83224856.13387871
2022-05-15,6709200057.510534,6136755825.786622,572444231.7239122
2022-05-16,3843939332.4158583,4752371700.627423,-908432368.211565
2022-05-17,4752844599.261757,4478907724.787641,273936874.4741163
2022-05-18,5071889337.937756,4723701913.2190075,348187424.7187481
2022-05-19,4169326339.7591443,4446558864.013111,-277232524.2539668
2022-05-20,1186252568.921715,829384788.2443337,356867780.6773813
2022-05-21,813197687.87061,1391966158.254327,-578768470.3837171
2022-05-22,4398100670.671712,4669036357.938482,-270935687.26677036
2022-05-23,2929672462.5704117,2706188834.7657447,223483627.804667
2022-05-24,2644997383.9290533,2615867018.095786,29130365.833267212
2022-05-25,3076658938.426636,3287769061.6314735,-211110123.20483732
2022-05-26,3261430156.766173,3801487395.1467,-540057238.380527
2022-05-27,777816271.8291082,1006439087.7633393,-228622815.93423104
2022-05-28,353766987.37534493,451303360.66789234,-97536373.2925474
2022-05-29,3250046865.8497725,3147631543.111017,102415322.73875523
2022-05-30,2082833614.649725,1933600908.6787794,149232705.9709456
2022-05-31,2224057546.3049636,2160625770.8201194,63431775.48484421
2022-06-01,1920957173.5174809,2165585371.0005817,-244628197.4831009
2022-06-02,1544469139.4134185,1654165730.083458,-109696590.67003942
2022-06-03,560397475.7091383,569789480.590653,-9392004.881514668
2022-06-04,1141695121.5273435,1315501381.4623177,-173806259.9349742
2022-06-05,3014325835.010923,2609821455.9100327,404504379.10089016
2022-06-06,2686629466.593953,2609622754.819763,77006711.77418995
2022-06-07,1981970537.3749135,2132771251.2396798,-150800713.86476636
2022-06-08,2039900437.43556,2130747657.8700497,-90847220.43448973
2022-06-09,1878580387.6253116,1984554742.0488052,-105974354.42349362
2022-06-10,1394098935.8804195,1031157318.412021,362941617.46839845
2022-06-11,1531732290.671843,1780276414.1150763,-248544123.44323325
2022-06-12,9895598405.161816,9912831184.631573,-17232779.46975708
2022-06-13,5356740342.26774,5779764484.720995,-423024142.4532547
2022-06-14,7032490337.323128,6568038599.346425,464451737.9767027
2022-06-15,4990402354.241717,4625621959.479154,364780394.7625637
2022-06-16,3751913790.7113695,4652525569.123321,-900611778.4119511
2022-06-17,2420954561.645117,2399696382.9085317,21258178.73658514
2022-06-18,1954848857.5230694,2094691033.7682967,-139842176.24522734
2022-06-19,7591012058.336616,2990612321.4153423,4600399736.921273
2022-06-20,2861051523.4751725,2607446037.1362534,253605486.33891916
2022-06-21,2758538111.459615,3189621248.473375,-431083137.0137596
2022-06-22,1926846380.3864074,2266640813.8867207,-339794433.5003133
2022-06-23,2441972379.511917,2411783219.9139605,30189159.597956657
2022-06-24,963156333.8820646,880345617.2739539,82810716.60811067
2022-06-25,410303830.9916726,461570256.83898383,-51266425.84731126
2022-06-26,1889268670.2390447,1853504194.8991868,35764475.33985782
2022-06-27,2182584301.1872897,2137731567.229879,44852733.95741081
2022-06-28,2420610024.5499907,2387520058.3488374,33089966.20115328
2022-06-29,1937998198.5911658,1892997686.4092293,45000512.1819365
2022-06-30,2519503456.82062,2354345114.023692,165158342.79692793
2022-07-01,937600511.701396,1158815890.6788237,-221215378.97742772
2022-07-02,682408282.9810915,789558099.4255967,-107149816.44450521
2022-07-03,3118955671.8699565,3334040725.3317313,-215085053.46177483
2022-07-04,1758654819.7654474,1648723099.5854366,109931720.1800108
2022-07-05,2129258251.1377063,2074630794.7041984,54627456.43350792
2022-07-06,2121297286.7103581,2092473361.9037273,28823924.80663085
2022-07-07,2676697383.714907,2709102401.1588917,-32405017.44398451
2022-07-08,668042622.5399369,704870702.5671552,-36828080.02721834
2022-07-09,633446653.3032651,525744546.2525802,107702107.05068487
2022-07-10,2829850027.5224485,2694249242.0219374,135600785.50051117
2022-07-11,1624642309.866932,1565786501.1654572,58855808.70147467
2022-07-12,1783754494.9311345,1678454035.5143561,105300459.41677833
2022-07-13,1787534294.7654057,1690159807.6786196,97374487.08678603
2022-07-14,2091650439.1466708,2379504608.7841105,-287854169.6374397
2022-07-15,581113967.329721,641605759.2088585,-60491791.879137516
2022-07-16,542547984.8299077,696163748.1419739,-153615763.3120662
2022-07-17,2645736771.7081084,2563027266.620588,82709505.0875206
2022-07-18,1845798118.676899,1912163068.2994568,-66364949.62255788
2022-07-19,2131657359.5136728,2242456918.1513667,-110799558.63769388
2022-07-20,1810391967.6278787,1769583285.746124,40808681.88175464
2022-07-21,2077378629.031505,1892110197.5239718,185268431.5075333
2022-07-22,587222431.4798684,643744014.4290595,-56521582.94919109
2022-07-23,313672587.03786874,382290928.8045702,-68618341.76670146
2022-07-24,1849263441.8838549,1665005232.954898,184258208.92895675
2022-07-25,1916657494.8347359,2181457756.9405565,-264800262.10582066
2022-07-26,1529510768.3427105,1662194920.562451,-132684152.21974039
2022-07-27,1757901675.2072535,1740316384.0189955,17585291.188257933
2022-07-28,2024559441.2053533,1787273561.0570846,237285880.1482687
2022-07-29,752439168.5867202,703649639.3163394,48789529.270380855
2022-07-30,569447024.117784,594171678.039041,-24724653.92125702
2022-07-31,2142444588.8423822,2259648318.9965754,-117203730.15419316
2022-08-01,1448071343.2501519,1395491937.240728,52579406.00942397
2022-08-02,1161542268.779239,1227500550.7987525,-65958282.01951361
2022-08-03,1191407194.1217537,1305802541.7047758,-114395347.58302212
2022-08-04,1515673419.9877806,1559834806.7746136,-44161386.78683305
2022-08-05,370833474.1787236,418463913.0140444,-47630438.83532083
2022-08-06,451017674.7559547,472253775.1771728,-21236100.421218097
2022-08-07,1585576511.8814542,1517085646.572621,68490865.30883312
2022-08-08,1348612225.4987767,1542337598.6448026,-193725373.1460259
2022-08-09,1793913473.3832042,1636725963.8212748,157187509.56192946
2022-08-10,1603511094.6679823,1508537888.8415198,94973205.8264625
2022-08-11,1389848254.049833,1374456742.497232,15391511.552601099
2022-08-12,709516198.5388798,835112656.0546106,-125596457.51573086
2022-08-13,701224888.2400455,683870010.9632118,17354877.276833773
2022-08-14,2221933607.678755,1973642325.543304,248291282.13545084
2022-08-15,1794507145.3437018,2115570723.005579,-321063577.66187716
2022-08-16,2112224708.778163,2000313267.2044787,111911441.57368422
2022-08-17,1776556932.3037913,1840018448.3231273,-63461516.019335985
2022-08-18,2284848587.558455,2505837218.0021563,-220988630.44370127
2022-08-19,709794451.9610221,664562296.6861677,45232155.27485442
2022-08-20,1210586623.8765478,1178143827.7976878,32442796.078860044
2022-08-21,2277997005.5021663,2225889324.8812857,52107680.620880604
2022-08-22,1446486904.7162066,1462220259.3615513,-15733354.645344734
2022-08-23,1280183509.528871,1228905241.9537232,51278267.57514787
2022-08-24,1105120671.8613358,1228790879.6418095,-123670207.78047371
2022-08-25,2107435420.5937414,1972356593.6130176,135078826.98072386
2022-08-26,744950924.9025322,614902629.6529413,130048295.24959087
2022-08-27,650686566.1862175,753843022.5159768,-103156456.32975924
2022-08-28,1677930915.2088895,1435365698.5584962,242565216.65039325
2022-08-29,1368251468.4303894,1366173385.3342395,2078083.0961499214
2022-08-30,1478742584.9609,1506251816.1987755,-27509231.23787546
2022-08-31,1629452033.6548684,1851209375.136241,-221757341.4813726
2022-09-01,1943765061.133605,1884113991.8416286,59651069.29197645
2022-09-02,352437996.4211251,340433700.085807,12004296.335318089
2022-09-03,568417861.4874132,559424214.8657855,8993646.621627688
2022-09-04,2114131729.9751034,2041207716.500529,72924013.47457433
2022-09-05,1827559608.360323,1589145930.7431867,238413677.61713624
2022-09-06,2017749346.6033626,2211008265.082335,-193258918.47897243
2022-09-07,1817806919.2598023,1865494699.646396,-47687780.38659358
2022-09-08,1678444021.6743815,1596835827.7084866,81608193.96589494
2022-09-09,707705607.4819478,787660879.9429575,-79955272.46100974
2022-09-10,490510379.1830777,473497438.0082167,17012941.174861014
2022-09-11,2571900059.177361,2555544252.9644504,16355806.212910652
2022-09-12,1886284012.772255,1820086327.128341,66197685.643913984
2022-09-13,3075383626.662777,3106076434.4788413,-30692807.816064358
2022-09-14,3962245909.2442856,3322465061.3124566,639780847.931829
2022-09-15,1919637256.8630917,1985901174.7364976,-66263917.87340593
2022-09-16,329988531.85239094,335090009.3175217,-5101477.465130746
2022-09-17,423120350.3615566,465138964.7359596,-42018614.374403
2022-09-18,1694885498.8587952,1223848176.3010283,471037322.5577669
2022-09-19,2502799929.630755,2501135394.952297,1664534.678457737
2022-09-20,1761668736.9882915,1623646137.1033053,138022599.88498616
2022-09-21,1527187351.0054326,1957287153.2439184,-430099802.2384858
2022-09-22,1610381586.6068516,1880532830.3384638,-270151243.7316122
2022-09-23,501844448.7173802,563015303.1179955,-61170854.400615275
2022-09-24,618253282.2502908,684158272.1349024,-65904989.88461161
2022-09-25,1808162340.421757,1763119742.3668363,45042598.05492067
2022-09-26,1362124580.9672842,1325083967.9198895,37040613.04739475
2022-09-27,1691094244.5605872,1911937084.3401787,-220842839.77959156
2022-09-28,1817145986.75059,2271490543.542573,-454344556.7919829
2022-09-29,2299689167.2526994,2493054443.7893066,-193365276.53660727
2022-09-30,449538834.55222905,423987987.4625272,25550847.08970183
2022-10-01,559548745.6988349,445209749.61773324,114338996.08110166
2022-10-02,2400239979.307168,2251344594.0725346,148895385.23463345
2022-10-03,1589291829.3649695,1333699475.5799994,255592353.78497005
2022-10-04,1539327810.209037,1330708405.8029943,208619404.4060428
2022-10-05,2023769233.2509367,1915982593.6039197,107786639.647017
2022-10-06,1867793106.9808445,1580309534.5564294,287483572.4244151
2022-10-07,489425245.7258501,604421067.5956528,-114995821.86980271
2022-10-08,284471492.1725098,274181180.04545146,10290312.127058327
2022-10-09,1280613662.5778675,1478257140.0759802,-197643477.49811268
2022-10-10,1413799801.3827167,1273677908.1752036,140121893.2075131
2022-10-11,1132954469.1594732,1452864621.15187,-319910151.99239683
2022-10-12,2663932063.1654887,2090000291.4196289,573931771.7458599
2022-10-13,1883426697.9162486,2238963639.319147,-355536941.40289855
2022-10-14,280879018.42805153,201194995.17125994,79684023.25679159
2022-10-15,345655590.0118911,413067085.4847,-67411495.4728089
2022-10-16,2175745412.9746413,2132230121.402434,43515291.57220721
2022-10-17,1955342150.5007532,1699779315.9627798,255562834.5379734
2022-10-18,1879355356.054401,1838290267.4979994,41065088.55640149
2022-10-19,2269104936.9228725,2311067039.2440515,-41962102.32117891
2022-10-20,1895040047.9229882,1878520945.3175921,16519102.605396032
2022-10-21,574408825.3889794,491499566.4975967,82909258.89138275
2022-10-22,518454379.61510307,587291169.1482464,-68836789.53314334
2022-10-23,1700248583.7760046,1594800239.0305336,105448344.745471
2022-10-24,2415402903.763393,2563227982.6093316,-147825078.84593868
2022-10-25,2364828034.436389,2258780449.4041457,106047585.03224325
2022-10-26,2565878723.3651996,2846626166.7858233,-280747443.4206238
2022-10-27,2619241871.9732213,2497546201.517772,121695670.4554491
2022-10-28,813055987.1027329,889095617.5992614,-76039630.4965285
2022-10-29,729255445.0068281,746529394.2927372,-17273949.285909176
2022-10-30,4166732024.666329,4267103826.014767,-100371801.34843826
2022-10-31,3623185453.6034346,3322565753.6561184,300619699.94731617
2022-11-01,2812481555.0459886,3226719081.7554135,-414237526.709425
2022-11-02,3603305364.442107,3277981217.8781934,325324146.5639138
2022-11-03,2689922368.4329867,2483594923.9088845,206327444.5241022
2022-11-04,1208795977.856951,1654451915.5506508,-445655937.69369984
2022-11-05,1420303718.7348533,1698454323.7467284,-278150605.01187515
2022-11-06,4868600856.49879,4874864041.456388,-6263184.957598686
2022-11-07,4792948523.692772,4907083430.987237,-114134907.29446507
2022-11-08,5690289980.591094,5706405308.890428,-16115328.299333572
2022-11-09,8666489797.613478,7874221890.9991865,792267906.6142912
2022-11-10,5649179776.042347,5917357790.69855,-268178014.65620327
2022-11-11,2933647521.55947,3660930215.706834,-727282694.1473637
2022-11-12,1852650182.7060218,2636760951.490696,-784110768.7846742
2022-11-13,5787463085.723716,5751404464.785365,36058620.93835068
2022-11-14,3092857300.8071404,2925284034.5454583,167573266.26168203
2022-11-15,2925556520.6116676,3454463840.6946993,-528907320.08303165
2022-11-16,2723990915.94425,2849993740.240945,-126002824.29669476
2022-11-17,3060761624.9924107,2290010902.520107,770750722.4723039
2022-11-18,801051347.1113943,1069525578.7640537,-268474231.6526594
2022-11-19,710850629.3579965,772850212.4510458,-61999583.09304929
2022-11-20,3018498236.6542583,2914812704.5307155,103685532.12354279
2022-11-21,2659362180.526721,2404976496.9470725,254385683.5796485
2022-11-22,3108383596.2264843,2892396534.4685917,215987061.7578926
2022-11-23,2169796007.4013333,3273148317.2250557,-1103352309.8237224
2022-11-24,2905624389.811873,3420811229.63623,-515186839.82435703
2022-11-25,986723759.7497933,927947009.9574457,58776749.79234755
2022-11-26,850629645.8522948,961440895.2710065,-110811249.41871166
2022-11-27,3587165051.670838,3517337953.4946337,69827098.1762042
2022-11-28,2906849626.842409,3010942608.5894365,-104092981.7470274
2022-11-29,2083967734.2586348,2262063307.075524,-178095572.81688905
2022-11-30,1843075995.3037708,1898053536.6482725,-54977541.344501734
2022-12-01,1949042065.4297864,1862807324.4717143,86234740.95807219
