Date,Bitcoin,Ethereum,Total
2018-12-24,406348.0,162438.0,22973.0
2018-12-25,331719.0,151210.0,24183.0
2018-12-26,373285.0,160323.0,26997.0
2018-12-27,431759.0,164572.0,26808.0
2018-12-28,439556.0,165366.0,25497.0
2018-12-29,391120.0,175269.0,26234.0
2018-12-30,356421.0,141079.0,24724.0
2018-12-31,385269.0,156142.0,24414.0
2019-01-01,286567.0,135184.0,23880.0
2019-01-02,408743.0,165157.0,27512.0
2019-01-03,415327.0,183734.0,32341.0
2019-01-04,397595.0,158065.0,35781.0
2019-01-05,343167.0,147108.0,34094.0
2019-01-06,338573.0,150090.0,38161.0
2019-01-07,412727.0,166958.0,40937.0
2019-01-08,422052.0,171006.0,55843.0
2019-01-09,418138.0,170585.0,50995.0
2019-01-10,436357.0,165308.0,53432.0
2019-01-11,418783.0,163936.0,47262.0
2019-01-12,342628.0,123169.0,51879.0
2019-01-13,316005.0,129953.0,46846.0
2019-01-14,387969.0,196036.0,45507.0
2019-01-15,417638.0,172238.0,47514.0
2019-01-16,444514.0,145160.0,49167.0
2019-01-17,414804.0,145540.0,59129.0
2019-01-18,411794.0,147120.0,60607.0
2019-01-19,354090.0,139134.0,54029.0
2019-01-20,349797.0,132880.0,53992.0
2019-01-21,392130.0,144473.0,54329.0
2019-01-22,401844.0,137472.0,55132.0
2019-01-23,462348.0,148160.0,54815.0
2019-01-24,434907.0,147479.0,60876.0
2019-01-25,421283.0,147517.0,63257.0
2019-01-26,397151.0,124351.0,59830.0
2019-01-27,333529.0,140289.0,85988.0
2019-01-28,436631.0,163801.0,79132.0
2019-01-29,425019.0,152355.0,84413.0
2019-01-30,412419.0,139285.0,88599.0
2019-01-31,434570.0,143192.0,87067.0
2019-02-01,455594.0,138590.0,81088.0
2019-02-02,376658.0,117537.0,81585.0
2019-02-03,349484.0,107417.0,88469.0
2019-02-04,405312.0,102770.0,83853.0
2019-02-05,420423.0,104930.0,86819.0
2019-02-06,476604.0,104880.0,88085.0
2019-02-07,435742.0,105224.0,86086.0
2019-02-08,469902.0,125356.0,82347.0
2019-02-09,383858.0,107785.0,83290.0
2019-02-10,319730.0,98901.0,65319.0
2019-02-11,485111.0,117859.0,73646.0
2019-02-12,597073.0,116036.0,73239.0
2019-02-13,529401.0,123021.0,73390.0
2019-02-14,412236.0,127085.0,69422.0
2019-02-15,414326.0,127684.0,74632.0
2019-02-16,405619.0,119780.0,69571.0
2019-02-17,344394.0,117432.0,58698.0
2019-02-18,469578.0,154670.0,68309.0
2019-02-19,475504.0,145044.0,78109.0
2019-02-20,471487.0,136770.0,75821.0
2019-02-21,424592.0,127287.0,81165.0
2019-02-22,519158.0,132064.0,78846.0
2019-02-23,376930.0,127634.0,74610.0
2019-02-24,375775.0,136380.0,77949.0
2019-02-25,458487.0,132989.0,78221.0
2019-02-26,477332.0,140321.0,90541.0
2019-02-27,464621.0,147898.0,86183.0
2019-02-28,483941.0,137877.0,82925.0
2019-03-01,484347.0,159285.0,84567.0
2019-03-02,417892.0,141813.0,76077.0
2019-03-03,372159.0,129255.0,71134.0
2019-03-04,467450.0,149786.0,153032.0
2019-03-05,480644.0,158756.0,123381.0
2019-03-06,507093.0,157718.0,69302.0
2019-03-07,471353.0,154988.0,65820.0
2019-03-08,483942.0,152417.0,72909.0
2019-03-09,387879.0,159643.0,74784.0
2019-03-10,342191.0,125406.0,69231.0
2019-03-11,498457.0,138754.0,73200.0
2019-03-12,463742.0,156807.0,68647.0
2019-03-13,500342.0,151684.0,82170.0
2019-03-14,516235.0,151129.0,87034.0
2019-03-15,485424.0,151553.0,78335.0
2019-03-16,404883.0,127923.0,79993.0
2019-03-17,343113.0,132106.0,76146.0
2019-03-18,475942.0,162584.0,83262.0
2019-03-19,507837.0,169497.0,86280.0
2019-03-20,508726.0,169075.0,79962.0
2019-03-21,476135.0,154169.0,88306.0
2019-03-22,486105.0,158312.0,83505.0
2019-03-23,387721.0,148837.0,86842.0
2019-03-24,376244.0,146089.0,84943.0
2019-03-25,486549.0,187411.0,98870.0
2019-03-26,441018.0,180890.0,92677.0
2019-03-27,519194.0,167817.0,105210.0
2019-03-28,504996.0,171826.0,95497.0
2019-03-29,505033.0,172102.0,90811.0
2019-03-30,457346.0,164542.0,92112.0
2019-03-31,420985.0,157782.0,93534.0
2019-04-01,446350.0,202418.0,99330.0
2019-04-02,569292.0,236139.0,108886.0
2019-04-03,561430.0,216822.0,109425.0
2019-04-04,526397.0,191804.0,101211.0
2019-04-05,589520.0,185567.0,102860.0
2019-04-06,464486.0,159946.0,99723.0
2019-04-07,406249.0,167456.0,94288.0
2019-04-08,505612.0,192280.0,90361.0
2019-04-09,513984.0,196470.0,82881.0
2019-04-10,514013.0,178148.0,97894.0
2019-04-11,530396.0,215522.0,93667.0
2019-04-12,515283.0,232485.0,88852.0
2019-04-13,380954.0,187728.0,85986.0
2019-04-14,396224.0,142534.0,95859.0
2019-04-15,520281.0,175252.0,85615.0
