"Date","BTC Market Cap","ETH Market Cap","Top 10 (Without BTC & ETH)","Others"
"2019-03-17","70497099778.1464","14864545411.806246","31648164240.492134","18775515506.67722"
"2019-03-18","70051219293.32379","14586546977.699165","31272394639.261315","18113243795.93273"
"2019-03-19","70152235369.2381","14504816696.08246","31415206144.03414","18411966333.9273"
"2019-03-20","70618508801.77231","14588139258.964716","31470802394.224264","18749469880.62371"
"2019-03-21","71208656536.95811","14646332154.545843","31557928748.174527","19264955898.69752"
"2019-03-22","70175421257.0859","14226418657.384989","30795576743.620161","18554671065.21195"
"2019-03-23","70227188528.50433","14349872413.090286","31217425010.847844","18923765500.03354"
"2019-03-24","70485598083.6817","14458951512.820686","31720673370.734004","18963167658.38761"
"2019-03-25","70330401859.60312","14349083379.676003","31636093516.938907","18862401698.36097"
"2019-03-26","69206266248.88437","14114508110.83552","31122962077.18398","19156763395.80613"
"2019-03-27","69368692535.334","14127347666.266151","31008144048.869489","18870584025.62236"
"2019-03-28","71134892682.49236","14728909325.816017","32793958332.310553","19539396938.13007"
"2019-03-29","70961529493.34933","14528588960.681654","32420541017.898386","19627120452.53163"
"2019-03-30","72303023146.20026","15091573435.250275","32848249938.056525","19991176276.23794"
"2019-03-31","72305792937.3489","15005382590.00451","32716625705.10719","20029117652.7264"
"2019-04-01","72310769858.13646","14930496588.280657","32767160115.770363","20684770785.08052"
"2019-04-02","73066822741.99345","14928001079.066639","33078622755.772481","20853056093.78643"
"2019-04-03","86200568432.5752","17376379496.109585","38915603829.421815","23625632836.8494"
"2019-04-04","87673795383.52638","17073994347.06151","40261629353.88327","23231244930.41184"
"2019-04-05","86482892583.41296","16631238666.397068","39184489319.128972","22978650280.899"
"2019-04-06","88332459637.7143","17415767438.96335","41313066430.13400","24256248250.30735"
"2019-04-07","88955701285.46048","17431813826.27367","41355821477.16023","23938409547.32662"
"2019-04-08","91102196906.19292","18330615695.15078","41982472976.70410","24606283331.1012"
"2019-04-09","92817357385.16908","19005528101.207676","41511953927.741894","24176420576.05435"
"2019-04-10","91255525157.87743","18514941900.58221","40541482933.72102","23731059035.26634"
"2019-04-11","93646653914.38365","18738487750.9329","41634911600.10495","23871574510.7755"
"2019-04-12","89079171479.86378","17442825237.19966","38516953023.18126","22035622956.0833"
"2019-04-13","89668931907.92058","17386399385.122326","38589020233.991514","22295661322.05158"
"2019-04-14","89473995793.9539","17327865226.321712","38393596233.099088","22101673767.7713"
"2019-04-15","90952758268.0811","17700075886.552334","39381230365.931596","22572590641.61397"
"2019-04-16","89148028192.09521","16995977336.81406","38969134751.32733","21661788299.5634"
"2019-04-17","91835875597.91147","17609171351.003345","39766217578.791185","22164962563.225"
"2019-04-18","92156851198.58777","17588516336.63911","39772739140.25772","22283610591.8084"
"2019-04-19","93215173176.98566","18314771488.822433","40315182404.238877","22911487448.17703"
"2019-04-20","93210585886.91354","18342659764.36273","40369826980.32978","22658238175.83895"
"2019-04-21","93900276128.91374","18306343766.281067","39998521306.933123","22957907155.79207"
"2019-04-22","93759009855.06888","17972610400.17828","38912186333.03430","22454314727.38054"
"2019-04-23","94990455842.8902","18087557354.45475","39083223519.43288","22320054563.34717"
"2019-04-24","98039931169.25388","18058590378.524723","38397950422.179797","22014822625.1536"
"2019-04-25","96218396013.24342","17513743539.566673","36678809680.279967","20564506801.73994"
"2019-04-26","91817406863.89627","16278218288.123909","35369561473.062741","19242227078.09908"
"2019-04-27","93049690718.15042","16557928986.13092","36139698255.41644","19574854208.44122"
"2019-04-28","93148101239.95938","16729345051.253407","35784839537.205063","19694490384.81615"
"2019-04-29","92775167509.00262","16559733009.547436","35436603269.988884","19586015493.70106"
"2019-04-30","91885324029.79892","16314567668.36402","34174382577.89929","19085319184.57277"
"2019-05-01","93534079555.95955","17017994744.389439","36373786158.345771","19732553102.73724"
"2019-05-02","94579889910.03488","16881275146.405905","36124968877.130875","19907400968.05734"
"2019-05-03","96389607751.50581","17057211134.916904","36317656373.636186","20577414388.4501"
"2019-05-04","101175865117.03497","17632782365.111347","37693273027.426163","21269586684.43752"
"2019-05-05","102653043813.21808","17251245248.674953","37113618778.755097","20698378846.91387"
"2019-05-06","101764683178.68076","17213549032.231903","36844732519.707537","20294912989.0048"
"2019-05-07","101101531131.03914","18328559385.30721","36638955404.58435","20185148532.9553"
"2019-05-08","103982497546.43155","18164993797.052807","36271577027.492513","20422971685.55413"
"2019-05-09","105271848239.8506","18006362667.522446","36124622856.562374","20460807938.59358"
"2019-05-10","109284325643.20634","18116042476.197884","35594689573.842976","19946283891.8438"
"2019-05-11","112684642518.92992","18289505929.628407","36060088753.279593","20489519545.98908"
"2019-05-12","129323693413.35974","21127886686.212933","41706810040.017727","23049967182.3086"
"2019-05-13","122826926577.3603","19825564759.39219","39147104695.92181","21101475610.3227"
"2019-05-14","138089773338.27194","20785018542.369095","41340684311.334705","22127908931.35726"
"2019-05-15","141341132028.998","23191421813.968952","46314282896.085598","23772704535.66845"
"2019-05-16","144615566025.01224","26321593931.32679","51176004801.32580","27098752450.83917"
