Time,Symbol,Funding Rate
2024-10-02 16:00:00,BTCUSDT,-0.00000913
2024-10-02 08:00:00,BTCUSDT,0.00009064
2024-10-02 00:00:00,BTCUSDT,0.0001
2024-10-01 16:00:00,BTCUSDT,0.0000526
2024-10-01 08:00:00,BTCUSDT,0.00000208
2024-10-01 00:00:00,BTCUSDT,0.00002677
2024-09-30 16:00:00,BTCUSDT,0.0001
2024-09-30 08:00:00,BTCUSDT,0.0001
2024-09-30 00:00:00,BTCUSDT,0.0001
2024-09-29 16:00:00,BTCUSDT,0.0001
2024-09-29 08:00:00,BTCUSDT,0.0001
2024-09-29 00:00:00,BTCUSDT,0.0001
2024-09-28 16:00:00,BTCUSDT,0.00006532
2024-09-28 08:00:00,BTCUSDT,0.0001
2024-09-28 00:00:00,BTCUSDT,0.00004588
2024-09-27 16:00:00,BTCUSDT,0.0000378
2024-09-27 08:00:00,BTCUSDT,0.0000868
2024-09-27 00:00:00,BTCUSDT,0.00007718
2024-09-26 16:00:00,BTCUSDT,0.00009007
2024-09-26 08:00:00,BTCUSDT,0.0001
2024-09-26 00:00:00,BTCUSDT,0.0001
2024-09-25 16:00:00,BTCUSDT,0.0001
2024-09-25 08:00:00,BTCUSDT,0.0001
2024-09-25 00:00:00,BTCUSDT,0.0001
2024-09-24 16:00:00,BTCUSDT,0.00002404
2024-09-24 08:00:00,BTCUSDT,0.00007883
2024-09-24 00:00:00,BTCUSDT,0.00008154
2024-09-23 16:00:00,BTCUSDT,0.00004386
2024-09-23 08:00:00,BTCUSDT,-0.00001126
2024-09-23 00:00:00,BTCUSDT,0.0001
2024-09-22 16:00:00,BTCUSDT,0.00005468
2024-09-22 08:00:00,BTCUSDT,-0.00004374
2024-09-22 00:00:00,BTCUSDT,-0.00000558
2024-09-21 16:00:00,BTCUSDT,-0.00001119
2024-09-21 08:00:00,BTCUSDT,-0.0000054
2024-09-21 00:00:00,BTCUSDT,0
2024-09-20 16:00:00,BTCUSDT,0.0001
2024-09-20 08:00:00,BTCUSDT,-0.00001615
2024-09-20 00:00:00,BTCUSDT,0.00003807
2024-09-19 16:00:00,BTCUSDT,0.00005137
2024-09-19 08:00:00,BTCUSDT,0.00006603
2024-09-19 00:00:00,BTCUSDT,0.00009784
2024-09-18 16:00:00,BTCUSDT,0.00008846
2024-09-18 08:00:00,BTCUSDT,0.00005549
2024-09-18 00:00:00,BTCUSDT,0.00000648
2024-09-17 16:00:00,BTCUSDT,0.00002251
2024-09-17 08:00:00,BTCUSDT,0.00007666
2024-09-17 00:00:00,BTCUSDT,0.0001
2024-09-16 16:00:00,BTCUSDT,0.00004538
2024-09-16 08:00:00,BTCUSDT,0.00002239
2024-09-16 00:00:00,BTCUSDT,0.00003377
2024-09-15 16:00:00,BTCUSDT,0.00007324
2024-09-15 08:00:00,BTCUSDT,0.00000208
2024-09-15 00:00:00,BTCUSDT,0.00007514
2024-09-14 16:00:00,BTCUSDT,-0.00002375
2024-09-14 08:00:00,BTCUSDT,-0.00000795
2024-09-14 00:00:00,BTCUSDT,-0.00001724
2024-09-13 16:00:00,BTCUSDT,0.00001552
2024-09-13 08:00:00,BTCUSDT,-0.0000431
2024-09-13 00:00:00,BTCUSDT,0.00003154
2024-09-12 16:00:00,BTCUSDT,0.00002538
2024-09-12 08:00:00,BTCUSDT,0.00006624
2024-09-12 00:00:00,BTCUSDT,0.00000315
2024-09-11 16:00:00,BTCUSDT,0.00009155
2024-09-11 08:00:00,BTCUSDT,0.00001728
2024-09-11 00:00:00,BTCUSDT,0.00004027
2024-09-10 16:00:00,BTCUSDT,0.00000995
2024-09-10 08:00:00,BTCUSDT,0.00001276
2024-09-10 00:00:00,BTCUSDT,0.0001
2024-09-09 16:00:00,BTCUSDT,-0.0000354
2024-09-09 08:00:00,BTCUSDT,0.00009123
2024-09-09 00:00:00,BTCUSDT,0.00009883
2024-09-08 16:00:00,BTCUSDT,0.00003261
2024-09-08 08:00:00,BTCUSDT,0.00001751
2024-09-08 00:00:00,BTCUSDT,0.0000468
2024-09-07 16:00:00,BTCUSDT,0.00003364
2024-09-07 08:00:00,BTCUSDT,0.0000243
2024-09-07 00:00:00,BTCUSDT,0.00002842
2024-09-06 16:00:00,BTCUSDT,0.00000186
2024-09-06 08:00:00,BTCUSDT,-0.0000166
2024-09-06 00:00:00,BTCUSDT,-0.00004633
2024-09-05 16:00:00,BTCUSDT,0.00000848
2024-09-05 08:00:00,BTCUSDT,-0.00000239
2024-09-05 00:00:00,BTCUSDT,-0.00004165
2024-09-04 16:00:00,BTCUSDT,-0.00002771
2024-09-04 08:00:00,BTCUSDT,0.00000358
2024-09-04 00:00:00,BTCUSDT,0.00004569
