Date,BNB Chain,Tron,Bitcoin,Solana,Ethereum,Polygon,Ronin,Aptos,Celo,TON
2023-12-06,1236695.00,1585665.00,497077.00,208239.00,343840.00,372999.00,141490.00,26633.00,164761.00,10715.00
2023-12-07,1141634.00,1556331.00,544239.00,230950.00,372885.00,365146.00,143807.00,26622.00,165260.00,2578.00
2023-12-08,1151594.00,1525568.00,583084.00,288776.00,388988.00,334512.00,143176.00,29699.00,154473.00,1663.00
2023-12-09,1109248.00,1395197.00,597608.00,288470.00,363584.00,397515.00,142733.00,60751.00,168134.00,13870.00
2023-12-10,1040756.00,1298120.00,540595.00,282952.00,348470.00,372484.00,148869.00,72045.00,168264.00,13641.00
2023-12-11,1126142.00,1499073.00,678970.00,257846.00,328118.00,367890.00,143857.00,41705.00,185543.00,42312.00
2023-12-12,1135355.00,1507851.00,548861.00,250624.00,327299.00,383014.00,141244.00,57237.00,190163.00,38758.00
2023-12-13,1091590.00,1475815.00,423396.00,259939.00,317144.00,376866.00,137049.00,37169.00,192011.00,23580.00
2023-12-14,1157228.00,1514005.00,377858.00,295368.00,343930.00,415982.00,133230.00,35087.00,189020.00,18145.00
2023-12-15,1342278.00,1489933.00,521831.00,383140.00,339740.00,415074.00,125685.00,39113.00,153928.00,39340.00
2023-12-16,1072536.00,1270843.00,430674.00,460619.00,308027.00,323086.00,133898.00,37540.00,183017.00,35136.00
2023-12-17,1068662.00,1288920.00,434538.00,374888.00,328276.00,407389.00,130362.00,39240.00,153486.00,53354.00
2023-12-18,1145990.00,1587621.00,613496.00,328211.00,346654.00,442320.00,135495.00,28936.00,118869.00,23057.00
2023-12-19,1216549.00,1507987.00,513603.00,360257.00,372530.00,501639.00,147193.00,32655.00,148569.00,20984.00
2023-12-20,1193508.00,1529161.00,482350.00,387582.00,416884.00,435381.00,171109.00,34158.00,170323.00,36495.00
2023-12-21,1287820.00,1506454.00,488161.00,434190.00,426440.00,433980.00,220546.00,35971.00,189869.00,49447.00
2023-12-22,1177917.00,1448860.00,664527.00,437701.00,422607.00,419671.00,203530.00,73292.00,188418.00,33141.00
2023-12-23,1113742.00,1325482.00,592630.00,400293.00,366783.00,427969.00,205397.00,72967.00,181290.00,25487.00
2023-12-24,1098502.00,1320851.00,621090.00,447881.00,373519.00,391804.00,213339.00,91519.00,199222.00,19513.00
2023-12-25,1156691.00,1420182.00,459464.00,443253.00,359760.00,405382.00,220198.00,81192.00,203792.00,18028.00
2023-12-26,1394073.00,1458427.00,474589.00,458830.00,368428.00,457607.00,221925.00,113350.00,195290.00,23282.00
2023-12-27,1849307.00,1412479.00,474026.00,439502.00,373198.00,476983.00,218188.00,107706.00,191609.00,31115.00
2023-12-28,2521213.00,1480614.00,534031.00,397865.00,408234.00,462443.00,257636.00,95736.00,215367.00,30430.00
2023-12-29,3419499.00,1578437.00,579806.00,365989.00,350431.00,488363.00,328346.00,79952.00,175143.00,37032.00
